"","zip5","firefighters"
"399",51443,24
"400",51444,20
"401",51445,25
"402",51446,28
"403",51447,20
"404",51448,20
"405",51449,25
"406",51450,25
"407",51452,16
"408",51453,18
"409",51454,17
"410",51455,36
"411",51459,17
"412",51460,17
"413",51461,28
"414",51463,30
"415",51465,19
"416",51466,24
"417",51467,24
"418",51503,138
"419",51510,27
"420",51521,20
"421",51523,16
"422",51525,18
"423",51526,14
"424",51527,22
"425",51528,25
"426",51529,28
"427",51531,22
"428",51532,12
"429",51533,18
"430",51534,18
"431",51535,28
"432",51536,18
"433",51537,34
"434",51540,18
"435",51541,20
"436",51542,16
"437",51543,33
"438",51544,17
"439",51545,19
"440",51548,16
"441",51549,32
"442",51550,10
"443",51551,25
"444",51552,20
"445",51553,12
"446",51554,13
"447",51555,26
"448",51557,18
"449",51558,15
"450",51559,26
"451",51560,30
"452",51561,11
"453",51562,30
"454",51563,20
"455",51564,18
"456",51566,36
"457",51570,25
"458",51571,12
"459",51572,20
"460",51573,25
"461",51575,25
"462",51576,27
"463",51577,34
"464",51578,22
"465",51579,23
"466",51630,15
"467",51631,9
"468",51632,15
"469",51636,16
"470",51638,30
"471",51640,28
"472",51646,20
"473",51649,14
"474",51650,17
"475",51652,33
"476",51653,58
"477",51654,17
"478",51656,13
"479",52001,89
"480",52002,29
"481",52003,35
"482",52030,25
"483",52031,40
"484",52032,23
"485",52033,30
"486",52035,33
"487",52037,21
"488",52038,19
"489",52040,40
"490",52041,31
"491",52042,39
"492",52043,30
"493",52045,36
"494",52046,36
"495",52047,20
"496",52048,29
"497",52049,26
"498",52050,21
"499",52052,31
"500",52053,30
"501",52054,31
"502",52057,32
"503",52060,30
"504",52064,20
"505",52065,25
"506",52068,40
"507",52069,35
"508",52070,25
"509",52072,25
"510",52073,40
"511",52075,33
"512",52077,18
"513",52078,25
"514",52101,35
"515",52132,22
"516",52133,24
"517",52134,20
"518",52135,24
"519",52136,26
"520",52141,22
"521",52142,16
"522",52144,26
"523",52146,25
"524",52147,19
"525",52151,30
"526",52154,18
"527",52155,18
"528",52156,23
"529",52157,28
"530",52159,27
"531",52161,24
"532",52162,65
"533",52163,22
"534",52165,24
"535",52166,12
"536",52169,18
"537",52171,18
"538",52172,34
"539",52175,29
"540",52201,25
"541",52202,22
"542",52205,32
"543",52206,26
"544",52207,10
"545",52208,40
"546",52209,20
"547",52210,27
"548",52212,19
"549",52213,25
"550",52214,25
"551",52215,18
"552",52216,25
"553",52217,22
"554",52218,23
"555",52219,20
"556",52222,21
"557",52223,30
"558",52225,15
"559",52227,29
"560",52228,51
"561",52229,25
"562",52232,17
"563",52233,61
"564",52235,22
"565",52240,81
"566",52241,48
"567",52247,25
"568",52248,22
"569",52249,23
"570",52251,24
"571",52253,30
"572",52254,26
"573",52255,33
"574",52301,28
"575",52302,63
"576",52305,24
"577",52306,18
"578",52307,22
"579",52310,35
"580",52314,30
"581",52315,30
"582",52316,24
"583",52317,40
"584",52318,15
"585",52321,17
"586",52322,26
"587",52324,15
"588",52326,15
"589",52327,29
"590",52328,20
"591",52329,13
"592",52332,23
"593",52333,35
"594",52335,33
"595",52336,27
"596",52337,21
"597",52339,38
"598",52340,22
"599",52342,30
"600",52344,15
"601",52345,24
"602",52346,25
"603",52347,25
"604",52348,18
"605",52349,28
"606",52352,35
"607",52353,40
"608",52356,32
"609",52358,35
"610",52361,30
"611",52362,25
"612",52404,13
"613",52405,132
"614",52501,57
"615",52530,16
"616",52533,19
"617",52535,25
"618",52536,20
"619",52537,19
"620",52540,22
"621",52542,21
"622",52544,28
"623",52549,10
"624",52550,11
"625",52551,21
"626",52552,14
"627",52553,23
"628",52554,18
"629",52556,18
"630",52560,12
"631",52563,20
"632",52565,28
"633",52567,19
"634",52569,12
"635",52571,22
"636",52574,27
"637",52576,17
"638",52577,33
"639",52580,25
"640",52584,12
"641",52585,25
"642",52590,24
"643",52591,34
"644",52601,48
"645",52620,14
"646",52623,24
"647",52624,50
"648",52625,27
"649",52626,14
"650",52627,16
"651",52630,7
"652",52631,22
"653",52632,36
"654",52635,20
"655",52637,45
"656",52638,13
"657",52639,27
"658",52644,13
"659",52645,30
"660",52647,22
"661",52649,15
"662",52651,20
"663",52653,30
"664",52654,25
"665",52655,31
"666",52656,32
"667",52658,24
"668",52659,30
"669",52660,6
"670",52676,26
"671",52701,20
"672",52720,16
"673",52721,27
"674",52722,95
"675",52726,24
"676",52728,25
"677",52729,30
"678",52730,39
"679",52731,30
"680",52732,45
"681",52738,37
"682",52739,22
"683",52742,31
"684",52745,20
"685",52746,24
"686",52747,22
"687",52748,28
"688",52749,28
"689",52750,15
"690",52751,34
"691",52752,12
"692",52753,30
"693",52754,21
"694",52755,24
"695",52756,25
"696",52757,30
"697",52758,25
"698",52759,24
"699",52761,44
"700",52768,30
"701",52772,35
"702",52773,26
"703",52774,30
"704",52776,35
"705",52777,19
"706",52778,26
"707",52801,140
"708",52808,35
