"","fiscalyear","aea","dist","de_district","district_name","amount","revenues_per_pupil"
"1134",2020,9,4773,4773,"Northeast",14086380,26957
"1135",2020,9,4784,4784,"North Scott",63818155,20734
"1136",2020,9,5250,5250,"Pleasant Valley",111847023,22207
"1137",2020,9,6975,6975,"West Liberty",25784257,19344
"1138",2020,9,7038,7038,"Wilton",23058494,27508
"1139",2020,10,99,99,"Alburnett",13444621,26146
"1140",2020,10,234,234,"Anamosa",32810806,25892
"1141",2020,10,576,576,"Belle Plaine",15552120,31845
"1142",2020,10,609,609,"Benton",29821594,19854
"1143",2020,10,1053,1053,"Cedar Rapids",372324187,21949
"1144",2020,10,1062,1062,"Center Point-Urbana",29478089,22139
"1145",2020,10,1089,1089,"Central City",13352955,29096
"1146",2020,10,1221,1221,"Clear Creek-Amana",72477216,30427
"1147",2020,10,1337,1337,"College Community",112692563,21926
"1148",2020,10,2097,2097,"English Valleys",9568731,20460
"1149",2020,10,2766,2766,"HLV",8585591,24405
"1150",2020,10,2977,2977,"Highland",14234570,22530
"1151",2020,10,3141,3141,"Iowa City",396804886,27779
"1152",2020,10,3154,3154,"Iowa Valley",11543920,20983
"1153",2020,10,3691,3691,"North Cedar",19598160,25309
"1154",2020,10,3715,3715,"Linn-Mar",206748783,27360
"1155",2020,10,3744,3744,"Lisbon",17793446,27937
"1156",2020,10,3816,3816,"Lone Tree",8695408,23906
"1157",2020,10,4086,4086,"Marion",44400050,22981
"1158",2020,10,4269,4269,"Midland",12294070,22957
"1159",2020,10,4271,4271,"Mid-Prairie",28751505,22835
"1160",2020,10,4446,4446,"Monticello",43949943,45673
"1161",2020,10,4554,4554,"Mount Vernon",40586566,36179
"1162",2020,10,4777,4777,"North Linn",15134599,24481
"1163",2020,10,4905,4905,"Olin",5807034,27390
"1164",2020,10,6093,6093,"Solon",29701732,21259
"1165",2020,10,6138,6138,"Springville",8714611,22806
"1166",2020,10,6408,6408,"Tipton",20079471,22894
"1167",2020,10,6660,6660,"Vinton-Shellsburg",33467621,22227
"1168",2020,10,6768,6768,"Washington",50882305,29679
"1169",2020,10,6930,6930,"West Branch",17880512,24289
"1170",2020,10,7029,7029,"Williamsburg",24721472,22442
"1171",2020,11,18,18,"Adair-Casey",8838203,28604
"1172",2020,11,27,27,"Adel-Desoto-Minburn",51360184,28570
"1173",2020,11,225,225,"Ames",211937536,48305
"1174",2020,11,261,261,"Ankeny",247224801,20642
"1175",2020,11,414,414,"Audubon",11161325,22371
"1176",2020,11,472,472,"Ballard",47603392,29343
"1177",2020,11,513,513,"Baxter",15942210,51579
"1178",2020,11,720,720,"Bondurant-Farrar",44135299,20603
"1179",2020,11,729,729,"Boone",45773213,22212
"1180",2020,11,981,981,"Carlisle",42633774,21516
"1181",2020,11,999,999,"Carroll",39011174,22694
"1182",2020,11,1332,1332,"Colfax-Mingo",16568806,21806
"1183",2020,11,1350,1350,"Collins-Maxwell",9152432,19931
"1184",2020,11,1359,1359,"Colo-Nesco",10533001,21499
"1185",2020,11,1413,1413,"Coon Rapids-Bayard",9375811,22163
"1186",2020,11,1576,1576,"Dallas Center-Grimes",108685005,37053
"1187",2020,11,1737,1737,"Des Moines",774880088,23634
"1188",2020,11,1953,1953,"Earlham",10636160,18483
"1189",2020,11,2151,2151,"Exira-Elk Horn-Kimballton",12063179,28239
"1190",2020,11,2466,2466,"Gilbert",33975684,22171
"1191",2020,11,2520,2520,"Glidden-Ralston",7404133,26923
"1192",2020,11,2754,2754,"Guthrie Center",11718973,27142
"1193",2020,11,3114,3114,"Indianola",66714864,19076
"1194",2020,11,3119,3119,"Interstate 35",16946185,19687
"1195",2020,11,3231,3231,"Johnston",161216201,22844
"1196",2020,11,3375,3375,"Knoxville",32052596,18233
"1197",2020,11,3906,3906,"Lynnville-Sully",10302962,22242
"1198",2020,11,3942,3942,"Madrid",12750390,19252
"1199",2020,11,4122,4122,"Martensdale-St Marys",12704661,24587
"1200",2020,11,4212,4212,"Melcher-Dallas",8301151,24051
"1201",2020,11,4617,4617,"Nevada",32745094,22091
"1202",2020,11,4725,4725,"Newton",56950795,18786
"1203",2020,11,4779,4779,"North Polk",39317707,22762
"1204",2020,11,4797,4797,"Norwalk",73211668,24458
"1205",2020,11,4878,4878,"Ogden",18996600,31181
"1206",2020,11,5121,5121,"Panorama",16743260,24022
"1207",2020,11,5166,5166,"Pella",44622148,20655
"1208",2020,11,5184,5184,"Perry",37045299,20446
"1209",2020,11,5256,5256,"Pleasantville",15172703,22280
"1210",2020,11,5319,5160,"PCM",23636309,22069
"1211",2020,11,5643,5643,"Roland-Story",20246006,19436
"1212",2020,11,5805,5805,"Saydel",33286453,29545
"1213",2020,11,6094,6094,"Southeast Warren",11866228,21933
"1214",2020,11,6101,6101,"Southeast Polk",143694865,20843
"1215",2020,11,6264,6264,"West Central Valley",21851607,22707
"1216",2020,11,6512,6512,"Twin Cedars",6650469,20008
"1217",2020,11,6561,6561,"United",10140936,25779
"1218",2020,11,6579,6579,"Urbandale",216851335,64271
"1219",2020,11,6615,6615,"Van Meter",14825910,20469
"1220",2020,11,6822,6822,"Waukee",343829837,30706
"1221",2020,11,6957,6957,"West Des Moines",201490400,22538
"1222",2020,11,7056,7056,"Winterset",46977948,27350
"1223",2020,11,7110,7110,"Woodward-Granger",22470754,24047
"1224",2020,12,63,63,"Akron-Westfield",11244112,19961
"1225",2020,12,355,355,"Ar-We-Va",8394848,30200
"1226",2020,12,747,747,"Boyden-Hull",20600759,34957
"1227",2020,12,1095,1095,"Central Lyon",15900053,20534
"1228",2020,12,1134,1134,"Charter Oak-Ute",7080694,26340
"1229",2020,12,1152,1152,"Cherokee",36635829,36125
"1230",2020,12,1701,1701,"Denison",41193166,18981
