"","feature_id","feature_name","State","County","elev_in_m","elev_in_ft","map_name","lat","long"
"91",466479,"Swanton Post Office (historical)","IA","Butler",279,915,"Coster",42.6430352,-92.7126942
"92",466480,"Mill Post Office (historical)","IA","Fayette",335,1099,"Sumner",42.7727599,-92.0229518
"93",466481,"Rock Run Post Office (historical)","IA","Shelby",363,1191,"Persia",41.6138785,-95.5247257
"94",466482,"Shelby Post Office (historical)","IA","Shelby",447,1467,"Earling",41.7999879,-95.4802793
"95",466483,"Blue Point Post Office (historical)","IA","Poweshiek",296,971,"Grinnell South",41.6277749,-92.6793568
"96",466484,"Sherman Post Office (historical)","IA","Poweshiek",261,856,"Montezuma",41.5119464,-92.5646327
"97",466485,"Tyro Post Office (historical)","IA","Poweshiek",280,919,"Searsboro",41.6094411,-92.7288025
"98",466486,"Mill Grove Post Office (historical)","IA","Poweshiek",241,791,"Searsboro",41.5227776,-92.671024
"99",466487,"Danforth Post Office (historical)","IA","Johnson",250,820,"Amana",41.8488951,-91.7721222
"100",466488,"Unity Post Office (historical)","IA","Johnson",221,725,"Tiffin",41.6572368,-91.6585041
"101",466489,"Shoo Fly Post Office (historical)","IA","Johnson",199,653,"Lone Tree",41.4352998,-91.4501605
"102",466490,"Watson Station Post Office (historical)","IA","Jasper",241,791,"Colfax",41.6744339,-93.1871474
"103",466491,"Germanville Post Office (historical)","IA","Jefferson",211,692,"Salina",41.1036312,-91.7660017
"104",466492,"Yazoo Post Office (historical)","IA","Harrison",307,1007,"Modale",41.5586035,-96.0005674
"105",466493,"Tipton Grove Post Office (historical)","IA","Hardin",317,1040,"Hubbard",42.3188728,-93.2585376
"106",466494,"Advance Post Office (historical)","IA","Guthrie",325,1066,"Yale",41.8205411,-94.3513552
"107",466495,"Dodge Post Office (historical)","IA","Guthrie",374,1227,"Bayard",41.8166525,-94.5713634
"108",466496,"Greenvale Post Office (historical)","IA","Dallas",322,1056,"Adel NW",41.6672094,-94.2252383
"109",466497,"Nordyke Post Office (historical)","IA","Dallas",291,955,"Commerce",41.5461004,-93.8182797
"110",466498,"Snyder Post Office (historical)","IA","Dallas",308,1010,"Granger",41.8055423,-93.8460597
"111",466499,"Gillett Grove Post Office","IA","Clay",397,1302,"Gillett Grove",43.0137284,-95.0368
"112",466500,"Rock Post Office (historical)","IA","Hancock",374,1227,"Clear Lake East",43.2382899,-93.350206
"113",466501,"Red Oak Post Office (historical)","IA","Cedar",261,856,"Tipton West",41.8464065,-91.1584914
"114",466502,"Pleasant Hill Post Office (historical)","IA","Cedar",238,781,"Lime City",41.6511355,-91.0845986
"115",466503,"Hull Post Office (historical)","IA","Boone",336,1102,"Luther",41.9910959,-93.796058
"116",466504,"Vaughn Post Office (historical)","IA","Fremont",292,958,"Shenandoah West",40.7994435,-95.484714
"117",466505,"Deer Creek Post Office (historical)","IA","Fremont",302,991,"Randolph",40.8658324,-95.554718
"118",466506,"High Creek Post Office (historical)","IA","Fremont",323,1060,"Farmers City",40.5988897,-95.4752639
"119",466507,"Nodaway Mills Post Office (historical)","IA","Page",298,978,"Clarinda South",40.6538799,-95.0327556
"120",466508,"Tarkio Post Office (historical)","IA","Page",342,1122,"Coin",40.7430498,-95.2141503
"121",466509,"Walkerville Post Office (historical)","IA","Page",301,988,"Farmers City",40.5958318,-95.377206
"122",466510,"Union Grove Post Office (historical)","IA","Page",330,1083,"Westboro",40.5997195,-95.329705
"123",466511,"Dan Post Office (historical)","IA","Taylor",385,1263,"Gravity",40.8735977,-94.74025
"124",466512,"Gravity Post Office (historical)","IA","Taylor",386,1266,"Guss",40.7658203,-94.7580271
"125",466513,"Holt Post Office (historical)","IA","Taylor",378,1240,"Guss",40.8277648,-94.774695
"126",466514,"Memory Post Office (historical)","IA","Taylor",338,1109,"New Market",40.7288781,-94.9266429
"127",466515,"Union Hill Post Office (historical)","IA","Ringgold",350,1148,"Ellston",40.8547162,-94.0641169
"128",466516,"Eugene Post Office (historical)","IA","Ringgold",380,1247,"Tingley",40.8702691,-94.2430094
"129",466517,"Marena Post Office (historical)","IA","Ringgold",355,1165,"Clearfield",40.8499896,-94.4088482
"130",466518,"Cross Post Office (historical)","IA","Ringgold",354,1161,"Kellerton",40.6958293,-94.0527286
"131",466519,"Redding Post Office","IA","Ringgold",351,1152,"Blockton",40.6040033,-94.3882817
"132",466520,"Bozzaris Post Office (historical)","IA","Ringgold",313,1027,"Blockton",40.5086019,-94.4519038
"133",466521,"Clipper Post Office (historical)","IA","Ringgold",330,1083,"Blockton SE",40.5786033,-94.3344014
"134",466522,"Genoa Post Office (historical)","IA","Wayne",329,1079,"Lake Thunderhead",40.6025113,-93.1132635
"135",466523,"Livingston Post Office (historical)","IA","Appanoose",321,1053,"Saint John",40.6230648,-93.2002102
"136",466524,"Stiles Post Office (historical)","IA","Davis",257,843,"Pulaski",40.6372487,-92.3521291
"137",466525,"Jefferson Post Office (historical)","IA","Davis",293,961,"West Grove",40.6539119,-92.5871343
"138",466526,"Beetrace Post Office (historical)","IA","Appanoose",298,978,"Moulton",40.7339062,-92.7251938
"139",466527,"Orleans Post Office (historical)","IA","Appanoose",299,981,"Moulton",40.7264078,-92.6585251
"140",466528,"Kirkwood Post Office (historical)","IA","Appanoose",260,853,"Centerville East",40.7391825,-92.7829734
"141",466529,"Bunch Post Office (historical)","IA","Davis",283,928,"Paris",40.7894627,-92.5913007
"142",466530,"Dennis Post Office (historical)","IA","Appanoose",276,906,"Hiattsville",40.787235,-92.8585312
"143",466531,"Donnellson Post Office","IA","Lee",215,705,"Donnellson",40.6414096,-91.5652952
"144",466532,"Home Post Office (historical)","IA","Van Buren",232,761,"Cantril",40.6716955,-92.0304532
"145",466533,"Oak Point Post Office (historical)","IA","Van Buren",241,791,"Milton",40.7247475,-92.1418455
"146",466534,"Huron Post Office (historical)","IA","Des Moines",163,535,"Oakville",41.0328133,-91.0293112
"147",466535,"Amity Post Office (historical)","IA","Des Moines",214,702,"Kingston",40.9986468,-91.0829236
"148",466536,"Cotton Grove Post Office (historical)","IA","Henry",219,718,"Winfield South",41.0158637,-91.4387681
"149",466537,"Swedesburg Post Office","IA","Henry",223,732,"Swedesburg",41.1050727,-91.5449644
"150",466538,"Winona Post Office (historical)","IA","Henry",222,728,"Swedesburg",41.1208595,-91.5046036
"151",466539,"Boyleston Post Office (historical)","IA","Henry",211,692,"Salem",40.826978,-91.5029343
"152",466540,"Wayne Post Office (historical)","IA","Henry",220,722,"Crawfordsville",41.1561353,-91.5409939
"153",466541,"Merrimack Post Office (historical)","IA","Jefferson",181,594,"Trenton",41.0875216,-91.7173889
"154",466542,"Four Corners Post Office (historical)","IA","Jefferson",224,735,"Salina",41.0241894,-91.7660011
"155",466543,"Baker Post Office (historical)","IA","Jefferson",238,781,"Fairfield North",41.1125174,-91.967396
"156",466544,"Vega Post Office (historical)","IA","Jefferson",215,705,"Lockridge East",40.9153042,-91.7423884
"157",466545,"Glendale Post Office (historical)","IA","Jefferson",229,751,"Lockridge West",40.9958561,-91.8126688
"158",466546,"Competine Post Office (historical)","IA","Wapello",242,794,"Abingdon",41.1208483,-92.2282367
"159",466547,"Highland Center Post Office (historical)","IA","Wapello",236,774,"Hedrick",41.1258469,-92.3537955
"160",466548,"Dudley Post Office (historical)","IA","Wapello",199,653,"Chillicothe",41.0889011,-92.516855
"161",466549,"Comstock Post Office (historical)","IA","Wapello",203,666,"Chillicothe",41.0961232,-92.5162994
"162",466550,"Munterville Post Office (historical)","IA","Wapello",262,860,"Chillicothe",41.0369556,-92.6171351
"163",466551,"Cliffland Post Office (historical)","IA","Wapello",193,633,"Agency",40.9666834,-92.3243497
"164",466552,"Cooperville Post Office (historical)","IA","Wapello",264,866,"Blakesburg NE",40.99168,-92.5346326
"165",466553,"Coalfield Post Office (historical)","IA","Monroe",222,728,"Avery",41.1183417,-92.6974158
"166",466554,"Coalton Post Office (historical)","IA","Monroe",268,879,"Hiteman",41.1091692,-92.9929792
"167",466555,"Weller Post Office (historical)","IA","Monroe",294,965,"Weller",41.1075016,-93.0502029
"168",466556,"Belinda Post Office (historical)","IA","Lucas",252,827,"Melcher-Dallas",41.1408328,-93.1440943
"169",466557,"Norwood Post Office (historical)","IA","Lucas",318,1043,"Lucas",41.1166642,-93.4810466
"170",466558,"Grant Post Office (historical)","IA","Montgomery",352,1155,"Grant",41.1463786,-94.9855419
"171",466559,"Sciola Post Office (historical)","IA","Montgomery",324,1063,"Morton Mills",41.0327673,-94.9960958
"172",466560,"Waveland Post Office (historical)","IA","Pottawattamie",332,1089,"Griswold",41.1749916,-95.1849932
"173",466561,"Wheeler Grove Post Office (historical)","IA","Pottawattamie",357,1171,"Carson NE",41.1758266,-95.330275
"174",466562,"Macedonia Post Office (historical)","IA","Pottawattamie",330,1083,"Carson",41.1941614,-95.4419447
"175",466563,"Living Spring Post Office (historical)","IA","Pottawattamie",332,1089,"Treynor",41.1786078,-95.5891704
"176",466564,"Big Grove Post Office (historical)","IA","Pottawattamie",334,1096,"Oakland",41.3044376,-95.4244456
"177",466565,"Parna Post Office (historical)","IA","Pottawattamie",358,1175,"Oakland",41.3291592,-95.3861113
"178",466566,"Downsville Post Office (historical)","IA","Pottawattamie",320,1050,"McClelland",41.3461067,-95.7091747
"179",466567,"Taylor Station Post Office (historical)","IA","Pottawattamie",361,1184,"Taylor",41.274995,-95.5372259
"180",466569,"Newlons Grove Post Office (historical)","IA","Cass",368,1207,"Grant",41.2436003,-94.9288743
"181",466570,"Holadays Post Office (historical)","IA","Adair",357,1171,"Rosserdale",41.4372101,-94.402465
"182",466571,"Canby Post Office (historical)","IA","Adair",413,1355,"Canby",41.4160986,-94.5205249
"183",466572,"Arbor Hill Post Office (historical)","IA","Adair",377,1237,"Arbor Hill",41.3399887,-94.2963484
"184",466573,"Groveland Post Office (historical)","IA","Adair",415,1362,"Greenfield",41.3583213,-94.4332985
"185",466574,"Jackson Post Office (historical)","IA","Adair",405,1329,"Fontanelle SW",41.3238761,-94.669141
"186",466575,"Vino Post Office (historical)","IA","Adair",399,1309,"Orient",41.200266,-94.4577418
"187",466576,"Orient Post Office","IA","Adair",412,1352,"Orient",41.2038989,-94.4169147
"188",466577,"Fisk Post Office (historical)","IA","Adair",405,1329,"Nevinville",41.2144321,-94.5421898
"189",466578,"North River Post Office (historical)","IA","Madison",341,1119,"Earlham West",41.4155443,-94.223569
"190",466579,"Middle River Post Office (historical)","IA","Madison",336,1102,"Pitzer",41.3291558,-94.2327349
"191",466580,"Maple Grove Post Office (historical)","IA","Madison",364,1194,"Pitzer",41.3294339,-94.1632884
"192",466581,"Ohio Post Office (historical)","IA","Madison",343,1125,"East Peru",41.1999925,-93.9077243
"193",466582,"Wells Post Office (historical)","IA","Madison",363,1191,"Macksburg",41.2411007,-94.2163444
"194",466583,"Rosemont Post Office (historical)","IA","Warren",265,869,"Newbern",41.2411069,-93.3665997
"195",466584,"Lawrenceburg Post Office (historical)","IA","Warren",271,889,"Medora",41.226662,-93.5466039
"196",466585,"Sharon Post Office (historical)","IA","Warren",299,981,"Medora",41.249439,-93.5827159
"197",466586,"Schonberg Post Office (historical)","IA","Warren",293,961,"Milo",41.2902725,-93.4043783
"198",466587,"Lynn Post Office (historical)","IA","Warren",296,971,"Norwalk",41.4119357,-93.7279983
"199",466588,"New Chicago Post Office (historical)","IA","Marion",242,794,"Newbern",41.219163,-93.3190986
"200",466589,"Iola Post Office (historical)","IA","Marion",245,804,"Harvey",41.3402759,-92.973256
"201",466590,"Amsterdam Post Office (historical)","IA","Marion",217,712,"Harvey",41.3705533,-92.9626997
"202",466591,"Lucas Grove Post Office (historical)","IA","Marion",252,827,"Knoxville NW",41.3780498,-93.1779832
"203",466592,"Star Post Office (historical)","IA","Marion",268,879,"Beech",41.2952728,-93.2515968
"204",466593,"Rousseau Post Office (historical)","IA","Marion",226,741,"Otley",41.4027732,-93.0568685
"205",466594,"Oak Post Office (historical)","IA","Marion",247,810,"Knoxville NW",41.4797139,-93.1910382
"206",466595,"Bennington Post Office (historical)","IA","Marion",250,820,"Pleasantville",41.4952682,-93.2927078
"207",466596,"Eveland Grove Post Office (historical)","IA","Mahaska",249,817,"Buxton",41.2169485,-92.8163086
"208",466597,"Ferry Post Office (historical)","IA","Mahaska",225,738,"Buxton",41.2466712,-92.7757524
"209",466598,"White Oak Post Office (historical)","IA","Mahaska",253,830,"Rose Hill",41.2794541,-92.4965775
"210",466599,"Hopewell Post Office (historical)","IA","Mahaska",216,709,"Rose Hill",41.3522305,-92.4379644
"211",466600,"Munchuk Post Office (historical)","IA","Mahaska",250,820,"Union Mills",41.3905621,-92.5046322
"212",466601,"Buckhorn Post Office (historical)","IA","Mahaska",245,804,"Union Mills",41.3769497,-92.578801
"213",466602,"Flint Post Office (historical)","IA","Mahaska",266,873,"Peoria",41.4505555,-92.7543602
"214",466603,"Creswell Post Office (historical)","IA","Keokuk",244,801,"South English",41.4113999,-92.0368436
"215",466604,"Chandler Post Office (historical)","IA","Keokuk",246,807,"Kinross",41.4650111,-91.9715642
"216",466605,"Manhatten Post Office (historical)","IA","Keokuk",213,699,"Ollie",41.2416801,-92.1082342
"217",466606,"Walden Post Office (historical)","IA","Keokuk",242,794,"Pekin",41.2127915,-92.179347
"218",466607,"Butler Post Office (historical)","IA","Keokuk",252,827,"Hedrick",41.184735,-92.3482401
"219",466608,"Dairy Post Office (historical)","IA","Washington",225,738,"Riverside",41.4027978,-91.5584965
"220",466609,"Valley Post Office (historical)","IA","Washington",212,696,"Keota",41.2683475,-91.8910064
"221",466610,"Dublin Dutch Creek Post Office (historical)","IA","Washington",235,771,"West Chester",41.2911254,-91.8696169
"222",466611,"Clay Post Office (historical)","IA","Washington",208,682,"Richland",41.1322395,-91.9287841
