"","year","county","county_FIPS","state_FIPS","othertxix_elig","othertxix_recip","othertxix_pmt","totaltxix_elig","totaltxix_recip","totaltxix_pmt","medneedy_elig","medneedy_pmt","medneedy_recip","avg_reimbursement_per_eligible_person"
"49",2011,"Ida","093","19",875,846.5,572670,880,851,584499.5,5,2718,5.5,543.6
"50",2011,"Iowa","095","19",1821,1553.5,825937,1829.5,1562.5,828134,7.5,2601,9,346.8
"51",2011,"Jackson","097","19",3096.5,2775,1559455,3107.5,2787,1563118.5,11,5589,13.5,508.090909090909
"52",2011,"Jasper","099","19",5139,4623,2765083,5171,4669.5,2806321,31,38550,54,1243.54838709677
"53",2011,"Jefferson","101","19",3242.5,2419,1363228.5,3260,2448,1418270.5,17,35122,34,2066
"54",2011,"Johnson","103","19",13949,11120,6523961,14011,11196.5,6609631,64.5,92544.5,88,1434.7984496124
"55",2011,"Jones","105","19",2418.5,2199.5,1369786.5,2429,2209.5,1377477,10,4805.5,11.5,480.55
"56",2011,"Keokuk","107","19",1647,1431.5,854975.5,1655.5,1439,859049.5,7.5,1529,9.5,203.866666666667
"57",2011,"Kossuth","109","19",1803.5,1634,1258738.5,1810,1641,1266706,7,3971,8,567.285714285714
"58",2011,"Lee","111","19",7629,6583.5,3858845.5,7662,6628,3882250,31.5,30888.5,52,980.587301587302
"59",2011,"Linn","113","19",30630,26024,15779414,30769.5,26232.5,15895200.5,145.5,200677.5,239.5,1379.22680412371
"60",2011,"Louisa","115","19",2088,1787,823378.5,2096,1795.5,833917,8.5,4428,9,520.941176470588
"61",2011,"Lucas","117","19",1841.5,1707,1009995.5,1849.5,1715.5,1013627,8,2817,8,352.125
"62",2011,"Lyon","119","19",985,966.5,570851,990.5,972,588746,5,7973,6,1594.6
"63",2011,"Madison","121","19",1681.5,1572.5,1061307,1691.5,1583.5,1064461,11,3993,13.5,363
"64",2011,"Mahaska","123","19",4239,3702,2093036,4259,3735.5,2142563.5,22.5,50285,38.5,2234.88888888889
"65",2011,"Marion","125","19",3871.5,3477.5,2118388,3892,3495,2131232.5,17.5,12122.5,20.5,692.714285714286
"66",2011,"Marshall","127","19",8547,7867.5,5438241,8607.5,7948.5,5508383.5,65,45913.5,88.5,706.361538461538
"67",2011,"Mills","129","19",2038,2050,7921268.5,2051,2067.5,7931212.5,10,5589,14.5,558.9
"68",2011,"Mitchell","131","19",1060.5,941,672749,1066,947,674020,6,1222.5,6,203.75
"69",2011,"Monona","133","19",1470,1345,867096.5,1473,1348,874679.5,3,3434,4.5,1144.66666666667
"70",2011,"Monroe","135","19",1283.5,1170.5,736118.5,1291.5,1177,737287.5,7,4739,9,677
"71",2011,"Montgomery","137","19",2240.5,2130,1250896,2254,2152.5,1274037,12,23579.5,25,1964.95833333333
"72",2011,"Muscatine","139","19",9092,7822,3661696,9154,7900,3704714,59.5,79535.5,87.5,1336.73109243697
"73",2011,"O Brien","141","19",1871,1799.5,1648008.5,1881.5,1810.5,1651029.5,10,2538,11.5,253.8
"74",2011,"Osceola","143","19",567,551.5,370261.5,570,554.5,375406.5,3,949,3,316.333333333333
"75",2011,"Page","145","19",2797,2715.5,1885269.5,2813.5,2733,1894171,15.5,5971.5,19,385.258064516129
"76",2011,"Palo Alto","147","19",1249.5,1171.5,996965.5,1254,1175,998724,4.5,1505,5,334.444444444444
"77",2011,"Plymouth","149","19",2311,2224,1576309.5,2325.5,2241,1586110.5,14,12557.5,17.5,896.964285714286
