"","year","county_name","dhs_service_area","judicial_district","disposition","reports","unique_children","duplicate_children","County_FIPS","State_FIPS","lat","long"
"54",2004,"Cherokee","1-Sioux City","3-Third JD","Unconfirmed",74,95,115,"035","19",42.7356226,-95.6238055
"55",2004,"Chickasaw","2-Waterloo","1-First JD","Confirmed",11,17,17,"037","19",43.0600414,-92.3176637
"56",2004,"Chickasaw","2-Waterloo","1-First JD","Founded",18,24,27,"037","19",43.0600414,-92.3176637
"57",2004,"Chickasaw","2-Waterloo","1-First JD","Unconfirmed",49,71,97,"037","19",43.0600414,-92.3176637
"58",2004,"Clarke","6-Des Moines","5-FifthJD","Confirmed",6,6,6,"039","19",41.0290323,-93.7851579
"59",2004,"Clarke","6-Des Moines","5-FifthJD","Founded",33,36,45,"039","19",41.0290323,-93.7851579
"60",2004,"Clarke","6-Des Moines","5-FifthJD","Unconfirmed",41,50,64,"039","19",41.0290323,-93.7851579
"61",2004,"Clay","1-Sioux City","3-Third JD","Confirmed",7,13,13,"041","19",43.0825804,-95.1509194
"62",2004,"Clay","1-Sioux City","3-Third JD","Founded",48,69,82,"041","19",43.0825804,-95.1509194
"63",2004,"Clay","1-Sioux City","3-Third JD","Unconfirmed",101,112,145,"041","19",43.0825804,-95.1509194
"64",2004,"Clayton","3-Dubuque","1-First JD","Confirmed",13,25,25,"043","19",42.8447493,-91.3414328
"65",2004,"Clayton","3-Dubuque","1-First JD","Founded",37,43,47,"043","19",42.8447493,-91.3414328
"66",2004,"Clayton","3-Dubuque","1-First JD","Unconfirmed",49,46,66,"043","19",42.8447493,-91.3414328
"67",2004,"Clinton","3-Dubuque","7-Seventh JD","Confirmed",44,46,48,"045","19",41.8980358,-90.5319724
"68",2004,"Clinton","3-Dubuque","7-Seventh JD","Founded",66,91,92,"045","19",41.8980358,-90.5319724
"69",2004,"Clinton","3-Dubuque","7-Seventh JD","Unconfirmed",270,308,378,"045","19",41.8980358,-90.5319724
"70",2004,"Crawford","5-Council Bluffs","3-Third JD","Confirmed",9,10,10,"047","19",42.0372125,-95.3819678
"71",2004,"Crawford","5-Council Bluffs","3-Third JD","Founded",38,54,61,"047","19",42.0372125,-95.3819678
"72",2004,"Crawford","5-Council Bluffs","3-Third JD","Unconfirmed",41,60,73,"047","19",42.0372125,-95.3819678
"73",2004,"Dallas","6-Des Moines","5-FifthJD","Confirmed",41,54,61,"049","19",41.6848862,-94.0397374
"74",2004,"Dallas","6-Des Moines","5-FifthJD","Founded",109,162,177,"049","19",41.6848862,-94.0397374
"75",2004,"Dallas","6-Des Moines","5-FifthJD","Unconfirmed",200,245,318,"049","19",41.6848862,-94.0397374
"76",2004,"Davis","7-Cedar Rapids","8-Eigth JD","Confirmed",5,4,6,"051","19",40.7476891,-92.4097173
"77",2004,"Davis","7-Cedar Rapids","8-Eigth JD","Founded",14,22,24,"051","19",40.7476891,-92.4097173
"78",2004,"Davis","7-Cedar Rapids","8-Eigth JD","Unconfirmed",28,37,44,"051","19",40.7476891,-92.4097173
"79",2004,"Decatur","6-Des Moines","5-FifthJD","Confirmed",8,8,9,"053","19",40.7376827,-93.7862815
"80",2004,"Decatur","6-Des Moines","5-FifthJD","Founded",26,33,38,"053","19",40.7376827,-93.7862815
"81",2004,"Decatur","6-Des Moines","5-FifthJD","Unconfirmed",20,24,27,"053","19",40.7376827,-93.7862815
"82",2004,"Delaware","3-Dubuque","1-First JD","Confirmed",4,4,4,"055","19",42.471211,-91.3673502
"83",2004,"Delaware","3-Dubuque","1-First JD","Founded",54,83,102,"055","19",42.471211,-91.3673502
"84",2004,"Delaware","3-Dubuque","1-First JD","Unconfirmed",71,69,102,"055","19",42.471211,-91.3673502
"85",2004,"Des Moines","8-Davenport","8-Eigth JD","Confirmed",25,28,31,"057","19",40.9231829,-91.1814707
"86",2004,"Des Moines","8-Davenport","8-Eigth JD","Founded",165,211,261,"057","19",40.9231829,-91.1814707
"87",2004,"Des Moines","8-Davenport","8-Eigth JD","Unconfirmed",302,375,471,"057","19",40.9231829,-91.1814707
"88",2004,"Dickinson","1-Sioux City","3-Third JD","Confirmed",6,7,7,"059","19",43.3779848,-95.1508301
"89",2004,"Dickinson","1-Sioux City","3-Third JD","Founded",41,65,67,"059","19",43.3779848,-95.1508301
"90",2004,"Dickinson","1-Sioux City","3-Third JD","Unconfirmed",65,84,91,"059","19",43.3779848,-95.1508301
"91",2004,"Dubuque","3-Dubuque","1-First JD","Confirmed",61,72,74,"061","19",42.468832,-90.8824564
"92",2004,"Dubuque","3-Dubuque","1-First JD","Founded",213,296,333,"061","19",42.468832,-90.8824564
"93",2004,"Dubuque","3-Dubuque","1-First JD","Unconfirmed",436,499,652,"061","19",42.468832,-90.8824564
"94",2004,"Emmet","1-Sioux City","3-Third JD","Confirmed",4,7,7,"063","19",43.3780225,-94.6784803
"95",2004,"Emmet","1-Sioux City","3-Third JD","Founded",46,63,69,"063","19",43.3780225,-94.6784803
"96",2004,"Emmet","1-Sioux City","3-Third JD","Unconfirmed",30,40,45,"063","19",43.3780225,-94.6784803
"97",2004,"Fayette","3-Dubuque","1-First JD","Confirmed",19,26,26,"065","19",42.8625919,-91.8443207
"98",2004,"Fayette","3-Dubuque","1-First JD","Founded",63,87,103,"065","19",42.8625919,-91.8443207
"99",2004,"Fayette","3-Dubuque","1-First JD","Unconfirmed",80,96,135,"065","19",42.8625919,-91.8443207
