"","zip5","n_post_offices"
"399",51022,1
"400",51023,1
"401",51024,1
"402",51025,1
"403",51026,1
"404",51027,1
"405",51028,1
"406",51029,1
"407",51030,1
"408",51031,1
"409",51033,1
"410",51034,1
"411",51035,1
"412",51036,1
"413",51037,1
"414",51038,1
"415",51039,1
"416",51040,1
"417",51041,1
"418",51044,1
"419",51045,1
"420",51046,1
"421",51047,1
"422",51048,1
"423",51049,1
"424",51050,1
"425",51051,1
"426",51052,1
"427",51053,1
"428",51054,1
"429",51055,1
"430",51056,1
"431",51058,1
"432",51060,1
"433",51061,1
"434",51062,1
"435",51063,1
"436",51101,1
"437",51201,1
"438",51230,1
"439",51231,1
"440",51232,1
"441",51234,1
"442",51235,1
"443",51237,1
"444",51238,1
"445",51239,1
"446",51240,1
"447",51241,1
"448",51242,1
"449",51243,1
"450",51245,1
"451",51246,1
"452",51247,1
"453",51248,1
"454",51249,1
"455",51250,1
"456",51301,1
"457",51331,1
"458",51333,1
"459",51334,1
"460",51338,1
"461",51340,1
"462",51341,1
"463",51342,1
"464",51345,1
"465",51346,1
"466",51347,1
"467",51350,1
"468",51351,1
"469",51354,1
"470",51355,1
"471",51357,1
"472",51358,1
"473",51360,1
"474",51363,1
"475",51364,1
"476",51365,1
"477",51366,1
"478",51401,1
"479",51430,1
"480",51431,1
"481",51433,1
"482",51436,1
"483",51439,1
"484",51440,1
"485",51441,1
"486",51442,1
"487",51443,1
"488",51444,1
"489",51445,1
"490",51446,1
"491",51448,1
"492",51449,1
"493",51450,1
"494",51451,1
"495",51452,1
"496",51453,1
"497",51454,1
"498",51455,1
"499",51458,1
"500",51459,1
"501",51460,1
"502",51461,1
"503",51462,1
"504",51463,1
"505",51465,1
"506",51466,1
"507",51467,1
"508",51501,1
"509",51521,1
"510",51523,1
"511",51525,1
"512",51526,1
"513",51527,1
"514",51528,1
"515",51529,1
"516",51530,1
"517",51531,1
"518",51532,1
"519",51533,1
"520",51534,1
"521",51535,1
"522",51536,1
"523",51537,1
"524",51540,1
"525",51543,1
"526",51544,1
"527",51546,1
"528",51549,1
"529",51551,1
"530",51552,1
"531",51553,1
"532",51554,1
"533",51555,1
"534",51556,1
"535",51557,1
"536",51558,1
"537",51559,1
"538",51560,1
"539",51561,1
"540",51562,1
"541",51563,1
"542",51564,1
"543",51565,1
"544",51566,1
"545",51570,1
"546",51571,1
"547",51572,1
"548",51573,1
"549",51575,1
"550",51576,1
"551",51577,1
"552",51579,1
"553",51601,1
"554",51630,1
"555",51631,1
"556",51632,1
"557",51636,1
"558",51637,1
"559",51638,1
"560",51639,1
"561",51640,1
"562",51646,1
"563",51648,1
"564",51649,1
"565",51650,1
"566",51651,1
"567",51652,1
"568",51653,1
"569",51654,1
"570",51656,1
"571",52001,1
"572",52030,1
"573",52031,1
"574",52032,1
"575",52033,1
"576",52035,1
"577",52037,1
"578",52038,1
"579",52040,1
"580",52041,1
"581",52042,1
"582",52043,1
"583",52045,1
"584",52046,1
"585",52047,1
"586",52049,1
"587",52050,1
"588",52052,1
"589",52053,1
"590",52054,1
"591",52056,1
"592",52057,1
"593",52060,1
"594",52064,1
"595",52065,1
"596",52068,1
"597",52069,1
"598",52070,1
"599",52071,1
"600",52072,1
"601",52073,1
"602",52075,1
"603",52076,1
"604",52077,1
"605",52078,1
"606",52079,1
"607",52101,1
"608",52132,1
"609",52133,1
"610",52134,1
"611",52135,1
"612",52136,1
"613",52141,1
"614",52142,1
"615",52144,1
"616",52146,1
"617",52147,1
"618",52151,1
"619",52154,1
"620",52155,1
"621",52156,1
"622",52157,1
"623",52158,1
"624",52159,1
"625",52160,1
"626",52161,1
"627",52162,1
"628",52163,1
"629",52165,1
"630",52166,1
"631",52168,1
"632",52169,1
"633",52171,1
"634",52172,1
"635",52175,1
"636",52201,1
"637",52202,1
"638",52203,1
"639",52205,1
"640",52206,1
"641",52207,1
"642",52208,1
"643",52209,1
"644",52210,1
"645",52211,1
"646",52212,1
"647",52213,1
"648",52214,1
"649",52215,1
"650",52216,1
"651",52217,1
"652",52218,1
"653",52220,1
"654",52222,1
"655",52223,1
"656",52224,1
"657",52225,1
"658",52227,1
"659",52228,1
"660",52229,1
"661",52233,1
"662",52235,1
"663",52236,1
"664",52237,1
"665",52240,1
"666",52247,1
"667",52248,1
"668",52249,1
"669",52251,1
"670",52253,1
"671",52254,1
"672",52255,1
"673",52301,1
"674",52302,1
"675",52305,1
"676",52306,1
"677",52307,1
"678",52308,1
"679",52309,1
"680",52310,1
"681",52313,1
"682",52314,1
"683",52315,1
"684",52316,1
"685",52317,1
"686",52318,1
"687",52320,1
"688",52321,1
"689",52322,1
"690",52323,1
"691",52324,1
"692",52325,1
"693",52326,1
"694",52327,1
"695",52329,1
"696",52330,1
"697",52332,1
"698",52333,1
"699",52334,1
"700",52335,1
"701",52336,1
"702",52337,1
"703",52338,1
"704",52339,1
"705",52340,1
"706",52342,1
"707",52344,1
"708",52345,1
"709",52346,1
"710",52347,1
"711",52348,1
"712",52349,1
"713",52351,1
"714",52352,1
"715",52353,1
"716",52354,1
"717",52356,1
"718",52358,1
"719",52361,1
"720",52362,1
"721",52401,1
"722",52501,1
"723",52530,1
"724",52531,1
"725",52533,1
"726",52534,1
"727",52535,1
"728",52536,1
"729",52537,1
"730",52540,1
"731",52542,1
"732",52543,1
"733",52544,1
"734",52548,1
"735",52549,1
"736",52551,1
"737",52552,1
"738",52553,1
"739",52554,1
"740",52555,1
"741",52556,1
"742",52560,1
"743",52561,1
"744",52562,1
"745",52563,1
"746",52565,1
"747",52566,1
"748",52567,1
"749",52568,1
"750",52569,1
"751",52570,1
"752",52571,1
"753",52572,1
"754",52573,1
"755",52574,1
"756",52576,1
"757",52577,1
"758",52580,1
"759",52581,1
"760",52583,1
"761",52584,1
"762",52585,1
"763",52586,1
"764",52590,1
"765",52591,1
"766",52594,1
"767",52595,1
"768",52601,1
"769",52619,1
"770",52620,1
"771",52621,1
"772",52623,1
"773",52624,1
"774",52625,1
"775",52626,1
"776",52627,1
"777",52630,1
"778",52631,1
"779",52632,1
"780",52635,1
"781",52637,1
"782",52638,1
"783",52639,1
"784",52640,1
"785",52641,1
"786",52644,1
"787",52645,1
"788",52646,1
"789",52647,1
"790",52648,1
"791",52649,1
"792",52650,1
"793",52651,1
"794",52652,1
"795",52653,1
"796",52654,1
"797",52655,1
"798",52656,1
"799",52658,1
"800",52659,1
"801",52701,1
"802",52720,1
"803",52721,1
"804",52722,1
"805",52726,1
"806",52728,1
"807",52729,1
"808",52730,1
"809",52731,1
"810",52732,1
"811",52738,1
"812",52739,1
"813",52742,1
"814",52745,1
"815",52746,1
"816",52747,1
"817",52748,1
"818",52749,1
"819",52750,1
"820",52751,1
"821",52752,1
"822",52753,1
"823",52754,1
"824",52755,1
"825",52756,1
"826",52757,1
"827",52758,1
"828",52760,1
"829",52761,1
"830",52765,1
"831",52766,1
"832",52767,1
"833",52768,1
"834",52769,1
"835",52772,1
"836",52773,1
"837",52774,1
"838",52776,1
"839",52777,1
"840",52778,1
"841",52801,1
