Name,Classification,Status,PhysicalStreetAddress,PhysicalUnitAddress,PhysicalAddressCity,PhysicalAddressZipCode
CASEYS GENERAL STORE #2478,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,205 MAIN ST ,,NEW SHARON,50207
CASEYS GENERAL STORE #32,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,117 KENNEDY AVE ,,MADRID,50156
CASEYS GENERAL STORE #40,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,900 LOCUST ST ,,SCRANTON,51462
CASEYS GENERAL STORE #74,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,618 CHURCH ST ,,MORNING SUN,52640
CASEYS GENERAL STORE 2077,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,3700 LOCUST ST ,,DAVENPORT,52804
CENEX AMPRIDE,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,215 N COMMERCIAL ,,EAGLE GROVE,50533
CENTERVILLE BP,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1000 N 18TH ST ,STE 2 ,CENTERVILLE,52544
CHARITON BP,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,117 1ST ST ,,CHARITON,50049
CHEROKEE COUNTRY STORE,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,820 S 2ND ST ,,CHEROKEE,51012
CIRCLE K STORE #22654125,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1219 1ST ST ,,PERRY,50220
COMART CONVENIENCE STORE,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,101 ISABELLA ST ,,RADCLIFFE,50230
COOPERATIVE ENERGY CO. DBA JACKRABBIT JCT,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1708 PIERCE AVE ,PO BOX 254 ,SIBLEY,51249
CORNER STOP,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,100 E MADISON ST ,,WASHINGTON,52353
CORWITH FARM SERVICE,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,205 NW ELM ST ,,CORWITH,50430
COUNTY LINE MART ,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,609 E BROADWAY ,,KEOTA,52248
D & S XPRESS 1220,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1220 N 25th ST ,,COUNCIL BLUFFS,51501
D & T GAS & FOOD,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,5358 HWY 64 ,,BALDWIN,52207
DELI MART #2,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1920 LOWER MUSCATINE RD ,,IOWA CITY,52240
DELI MART #3,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2410 MORMON TREK BLVD ,,IOWA CITY,52246
"DEPOT MONTEZUMA, THE",Convenience Store (FE) Fast Food:Convenience Store (RS),Active,101 Front ST ,,Montezuma,50171
DON'S MOTOR MART,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,401 W MAIN ST ,,LAKE MILLS,50450
DOUDS KWIK STOP,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,14085 IA-98 ,,DOUDS,52551
DREES OIL COMPANY,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1257 W US HWY 30 ,,CARROLL,51401
DUNCOMBE GAS & GROCERY INC.,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,418 MAIN ST ,,DUNCOMBE,50532
DYNO'S # 42,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,210 W Main ST ,,SAC CITY,50583
E-STOP CORPORATION,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,59172 410TH ST ,,Emerson,51533
EAST END CAR WASH & DETAIL CENTER,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,5401 MORNINGSIDE AVE ,,SIOUX CITY,51106
EDDYVILLE TRAVEL PLAZA (BP),Convenience Store (FE) Fast Food:Convenience Store (RS),Active,500 S Merino AVE ,,Eddyville,52553
ELMA EXPRESS,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,511 BUSTI AVE ,,ELMA,50628
ETTLEMAN'S TOWN & COUNTRY,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,30 E BOX 226 ,,DOW CITY,51528
FAS MART #5159,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2175 CENTRAL AVE ,,Dubuque,52001
FAST BREAK,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2580 NAPLES AVE ,,IOWA CITY,52240
FAST MART,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,336 S MAIN ST ,,PROTIVIN,52163
FAST MART,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1621 UNIVERSITY AVE ,,Des Moines,50311
"FENCE POST, THE",Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1449 BENTON LN ,,Little Sioux,51545
FLEET FARM FUEL,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,4275 SE DELAWARE AVE ,,ANKENY,50021
FLOYD FOOD & FUEL,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,3241 FLOYD BLVD ,,SIOUX CITY,51108
"GARY'S LIQUOR & WINE, LTD",Convenience Store (FE) Fast Food:Convenience Store (RS),Active,110 E JEFFERSON ST ,,Delaware,52036
GM MART,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2601 HIGHWAY 6 E ,,Iowa City,52240
GUPPY'S ON THE GO,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,301 MILL AVE ,,ELGIN,52141
H & M ENTERPRISES LLC,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,14562 Washington  RD ,,West Burlington,52655
HANUMANTA/GODFATHER'S PIZZA,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,806 W MAIN ST ,,LE GRAND,50142
HARTLEY JUNCTION,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,10 3RD ST NW ,,Hartley,51346
HIGHWAY 20 AUTO/TRUCK PLAZA,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,15140 DEPOT RDG ,,PEOSTA,52068
HY VEE FAST AND FRESH EXPRESS,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,528 S Hwy 1 ,,Washington,52353
HY-VEE #2 GAS,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,3290 CROSSPARK RD ,,Coralville,52241
HY-VEE C-STORE,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1310 W BURLINGTON ,,FAIRFIELD,52556
HY-VEE C-STORE # 1,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,3270 DODGE ST ,,DUBUQUE,52003
HY-VEE FAST & FRESH - ALTOONA,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,3950 Prairie Fire NW ,,Altoona,50009
HY-VEE FAST & FRESH EXPRESS,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,510 W McLane ST ,,Osceola,50213
HY-VEE GAS,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1421 1ST AVE E ,,NEWTON,50208
HY-VEE GAS,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1003 KELLY ST ,,CHARLES CITY,50616
HY-VEE GAS #1,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2801 HAMILTON BLVD ,,SIOUX CITY,51104
HY-VEE GAS #1,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1027 N QUINCY AVE ,,Ottumwa,52501
HY-VEE GAS #2,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2435 NW ARTERIAL ,,DUBUQUE,52002
HY-VEE GAS #2,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1503 4TH ST SE ,,MASON CITY,50401
HY-VEE GAS #3,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,3333 GORDON DR ,,SIOUX CITY,51105
HY-VEE GAS #4,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,665 S 51ST ST ,,WEST DES MOINES,50265
HY-VEE GAS- NORTH DODGE,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1103 N DODGE ST ,,Iowa City,52245
IDA GROVE CENEX/HASH INC,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,404 MOORHEAD AVE ,,IDA GROVE,51445
IN & OUT MARKET 1,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1829 6TH AVE ,,DES MOINES,50314
INDY 66,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1201 N JEFFERSON ,,INDIANOLA,50125
INDY 66  #929,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,101 S Jefferson WAY ,,INDIANOLA,50125
IOWA CITY BP,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2875 COMMERCE DR ,,Iowa City,52240
J & S EXPRESS,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2221 ROCHESTER AVE ,,Iowa City,52245
JERRY'S FOOD MART,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,301 Broadway ,,DIAGONAL,50845
JIFFY CONVENIENCE STORE,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,111 S 3RD AVE ,,MARSHALLTOWN,50158
JIFFY XPRESS #921,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,311 S JEFFERSON WAY ,,INDIANOLA,50125
"JO STOP, THE",Convenience Store (FE) Fast Food:Convenience Store (RS),Active,700 DIAMOND JO LN ,,NORTHWOOD,50459
JOHN'S QWIK STOP,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,814 C. AVE ,,VINTON,52349
JOHN'S QWIK STOP,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,702 WILSON ST ,,DYSART,52224
JONESY'S STOP N SHOP,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,104 1st ST N ,,Rockwell,50469
JUMP START,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,109 E LOCUST ST ,,CARTER LAKE,51510
K & J'S HOP 'N SHOP,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,416 BROAD ST ,,SABULA,52070
KCK'S FOOD & FUEL,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,59 E 16 ,572,SCHLESWIG,51461
KEY WEST BP,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2150 TWIN VALLEY RD ,,DUBUQUE,52003
KIMMES COUNTRY STORE #10,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,208 S MAIN ST ,,MANSON,50563
KIMMES DENISON COUNTRY STORE #11,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1108 4TH AVE S ,,Denison,51442
KLEMME TOWNMART,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,200 E MAIN ST ,,KLEMME,50449
KONVENIENCE KORNER,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1508 S 18TH ST ,,CENTERVILLE,52544
KUM & GO #0119,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,820 Highway 105 ,,Northwood,50459
KUM & GO #0184,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1430 1st AVE ,,Altoona,50009
KUM & GO #0731,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,3104 UNIVERSITY ,,DES MOINES,50311
KUM & GO #1,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,609 CENTRAL AVE ,,HAMPTON,50441
KUM & GO #121,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,12041 DOUGLAS PKWY ,,Urbandale,50323
KUM & GO #129,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,5225 86TH ST ,,JOHNSTON,50131
KUM & GO #137,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,101 VILLAGE DR ,,TIFFIN,52340
KUM & GO #141,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1880 Princeton DR ,,GRIMES,50111
KUM & GO #157,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,4585 156TH ST ,,URBANDALE,50323
KUM & GO #1959,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2359 EDGINGTON AVE ,,ELDORA,50627
KUM & GO #222,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,831 WEST ST ,,GRINNELL,50112
KUM & GO #23,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,29356-298 TH ST ,,NEOLA,51559
KUM & GO #237,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,801 1ST ,,GRIMES,50111
KUM & GO #240,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,530 NORTH AVE ,,NORWALK,50211
KUM & GO #267,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2050 HIGHWAY 38 ,,TIPTON,52772
KUM & GO #292,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1825 ANKENY BLVD ,,ANKENY,50021
KUM & GO #3502,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2303 MUSCATINE  AVE ,,Iowa City,52240
KUM & GO #4,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2091 MAIN ,,LAMONI,50140
KUM & GO #4098,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,7229 UNIVERSITY ,,WINDSOR HEIGHTS,50324
KUM & GO #4110,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2110 GUTHRIE AVE ,,DES MOINES,50317
KUM & GO #4127,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1864 HWY 141 ,,SLOAN,51055
KUM & GO #422,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,731 S RIVERSIDE DR ,,Iowa City,52246
KUM & GO #50,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,745 51ST ST ,,West Des Moines,50265
KUM & GO #507,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,610 N KANSAS AVE ,,NORTH LIBERTY,52317
KUM & GO #521,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,205 2ND ST ,,Coralville,52241
KUM & GO #536,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1300 Keo WAY ,,Des Moines,50309
KUM & GO #544,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1120 COMMERCIAL AVE ,,EAGLE GROVE,50533
KUM & GO #579,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,165 MAGAZINE RD ,,ANKENY,50023
KUM & GO #59,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,400 PRAIRIE BLUFF DR ,,WAUKEE,50263
KUM & GO #608,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1001 SANBORN AVE ,,OKOBOJI,51355
KUM & GO #7701,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,319 7th  ST ,STE 101 ,Des Moines,50309
KUM & GO #8,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1293 8TH ST ,,WEST DES MOINES,50265
KUM & GO #80,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1178 ENTERPRISE DR ,,RIVERSIDE,52327
KUM & GO CONVENIENCE STORE #1202,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,650 Hickman RD ,,Waukee,50263
KUM & GO STORE #0532,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,5901 Mills Civic PKWY ,BLDG 2000 ,West Des Moines,50266
KWIK SHOP #541,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,309 N LOCUST ,,GLENWOOD,51534
KWIK STAR # 223,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,3205 Willow Creek CT ,,Clear Lake,50428
KWIK STAR #1016,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,202 SE Oralabor RD ,,Ankeny,50021
KWIK STAR #103,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,701 S Oak ST ,,Iowa Falls,50126
KWIK STAR #229,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1717 E San Marnan DR ,,Waterloo,50702
KWIK STAR #278,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,100 W GILBERT DR ,,Evansdale,50707
KWIK STAR #291,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1225 E KIMBERLY RD ,,Davenport,52807
KWIK STAR #303,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,4175 HWY 21 ,,BROOKLYN,52211
KWIK STAR #394,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2500 CENTER ST ,,MARSHALLTOWN,50158
KWIK STAR #468,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,605 GILBERT ST ,,CHARLES CITY,50616
KWIK STAR #490,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,7500 NORDIC DR ,,CEDAR FALLS,50613
KWIK STAR #607,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,814 S 6TH ST ,,MARSHALLTOWN,50158
KWIK STAR #616,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,201 GREENWOOD ,,NASHUA,50658
KWIK STAR #702,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,813 S CANFIELD RD ,,DUNKERTON,50626
KWIK STAR #707,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,400 E BREMER AVE ,,WAVERLY,50677
KWIK STAR #712,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,811 BARRICK RD ,,JANESVILLE,50647
KWIK STAR #715,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1636 W 4TH ,,WATERLOO,50702
KWIK STAR #732,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,324 FLETCHER ,,WATERLOO,50701
KWIK STAR #752,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,500 W BREMER ,,WAVERLY,50677
KWIK STAR #790,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1000 W MAIN ST ,,MANCHESTER,52057
KWIK STAR #801,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,809 MAIN ST ,,OSAGE,50461
KWIK STAR #823,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,101 ROSSVILLE RD ,,WAUKON,52172
KWIK STAR #895,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,825 W MILWAUKEE ST ,,NEW HAMPTON,50659
KWIK STAR #940,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,806 HIGHWAY 69 N ,,FOREST CITY,50436
KWIK STOP #848,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,3201 CENTRAL AVE ,,DUBUQUE,52001
KWIK STOP #88,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,502 3RD ST ,,DELHI,52223
KWIK STOP FOOD MART,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2320 Gateway DR ,,DUBUQUE,52004
KWIK STOP FOOD MART,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2255 KERPER BLVD ,,DUBUQUE,52004
L & M GAS & GROCERY,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,320 W MAMIE EISENHOWER AVE ,,BOONE,50036
LAWTON PRONTO,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,91 CEDAR ST ,,LAWTON,51030
LEEDS FOOD & FUEL,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,4004 FLOYD BLVD ,,SIOUX CITY,51108
LICKETY-SPLIT CONVENIENCE STORE,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,101 1ST ST NW ,,FORT ATKINSON,52144
LIL' CHUBS CORNER STOP,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,712 OAK ST ,,INWOOD,51240
LINCOLN FARM & HOME SERVICE,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,515 SHARP ST ,,GLENWOOD,51534
LINCOLN FARM & HOME SERVICE #2,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1715 N BROADWAY ,,RED OAK,51566
LOESS HILLS COUNTRY CORNER,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,103 S 1ST ST ,,PISGAH,51564
LOVE'S TRAVEL STOP #479,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2525 SINGING HILLS BLVD ,,SIOUX CITY,51111
MEDIAPOLIS FAST BREAK,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,109 Wapello  ST ,,MEDIAPOLIS,52637
MEGA SAVER,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,3540 W BROADWAY ,,COUNCIL BLUFFS,51501
MIDTOWN,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1100 E 5TH ST ,,Storm Lake,50588
MOE'S MART #12,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,107 HOSPERS  DR S ,,HOSPERS,51238
MOE'S MART #14,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,303 N ELM ST ,,JEFFERSON,50129
"MOORHEAD MINI MART, LLC",Convenience Store (FE) Fast Food:Convenience Store (RS),Active,210 1ST ST ,,Moorhead,51558
MORNING STAR STATION,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,304 1ST ST N ,,WORTHINGTON,52078
MOUNT PLEASANT BP,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2120 E WASHINGTON ST ,,MOUNT PLEASANT,52641
MURPHY EXPRESS STATION #7776,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,3405 8th ST ,,Altoona,50009
N D EXPRESS,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2790 N DODGE ST ,,IOWA CITY,52245
NEW STAR PELLA,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,977 198TH PL ,,PELLA,50219
NEWTON 66,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1806 S 12TH AVE W ,,NEWTON,50208
NUEVO LEON,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,203 RIVER AVE SOUTH ,,BELMOND,50421
OAK STREET STATION,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2403 US HWY 18 ,,Inwood,51240
OLD 34 GAS & GRILL,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,305 E HWY 34 ,,Danville,52623
ONE STOP SHOP #3,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,220 S PHILLIPS ST ,,ALGONA,50511
ONE STOP SHOP #4,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,306 N 7TH ST ,,Denison,51442
ONE STOP SHOP / SUBWAY,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,700 W Elm AVE ,,Pocahontas,50574
OTTER CREEK COUNTRY STORE,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,3445 County Home RD ,,Robins,52328
OX & WREN SPIRITS & GIFTS,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,708 2nd AVE SE ,,Cresco,52136
"P-N-P, INC",Convenience Store (FE) Fast Food:Convenience Store (RS),Active,800 1ST AVE ,,ROCK RAPIDS,51246
PETRO & MORE,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,12735 US HWY 61 ,,GRANDVIEW,52752
PILOT TRAVEL CENTER #407,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2411 E HIGHWAY 18 ,,CLEAR LAKE,50428
PILOT TRAVEL CENTER #495,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,4126 HWY 21 I-80 EXIT 201 ,,BROOKLYN,52211
PIONEER'S REST AREA,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,4900 OLD HIGHWAY RD ,,DUBUQUE,52002
PORT OF DUBUQUE MARINA,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,450 E 3RD ST ,,DUBUQUE,52001
PRESTON COUNTRY STORE,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,22 E WHITE ST ,,PRESTON,52069
PRICE CHOPPER FUEL STATION,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,3401 Ingersoll AVE ,,Des Moines,50312
PRO FUEL THREE INC.,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1003 SUMMER ,,BURLINGTON,52601
PUMP 'N PAK,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1004 MAIN ST ,,ROCK VALLEY,51247
QUICK CORNER,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,901 10TH ST ,,HAWARDEN,51023
QUIK SPOT,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,201 W 4TH ST ,,EVERLY,51338
QUIK TIME CONVENIENCE STORE,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,203 W MAIN Box 61 ,,DRAKESVILLE,52552
QUIK TRIP #531,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1900 SE 37TH ST ,,GRIMES,50111
QUIKTRIP #516R,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1000 E UNIVERSITY AVE ,,DES MOINES,50316
QUIKTRIP #517,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1451 22ND ST ,,West Des Moines,50266
QUIKTRIP #530R,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1424 E Euclid AVE ,,Des Moines,50313
QUIKTRIP #534,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2945 E UNIVERSITY AVE ,,DES MOINES,50317
QUIKTRIP #535S,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1501 E GRAND AVE ,,DES MOINES,50316
QUIKTRIP #562,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,4801 NE 14TH ST ,,DES MOINES,50313
QUIKTRIP#541,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2428 HUBBELL AVE ,,DES MOINES,50317
R J'Z EXPRESS -SOLON,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,110 S MARKET ST ,,SOLON,52333
ROCK CREEK MARINA,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,12589 HWY F-27 ,,KELLOGG,50135
ROCKET FUELS & FOOD MART,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,16288 HWY 34 W ,,OTTUMWA,52501
ROUTE 63 QUICK STOP,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,206 N WASHINGTON ST ,,BLOOMFIELD,52537
RS PETROLEUM LLC,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2236 AVENUE L ,,Fort Madison,52627
SAM FOOD,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,648 MARQUETTE ST ,,DAVENPORT,52802
SARG'S MINI MART,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1545 INDIAN HILLS DR ,,Sioux City,51104
SELECT MART,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2825 GORDON DR ,,Sioux City,51105
SGT. BLUFF PUMP 'N PAK,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,200 1ST ST ,,SERGEANT BLUFF,51054
SHELDON PLAZA,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,121 34TH AVE ,,SHELDON,51201
SHELLI'S SHORT STOP,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,210 E FIRST ST ,,LEON,50144
SHORTSTOP  THE,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1735 MAMIE EISENHOWER ,,BOONE,50036
"SHORTSTOP #2, THE",Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1105 MAMIE EISENHOWER ,,BOONE,50036
SID'S GAS & GROCERIES,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,1116 HIGHWAY 69 S ,,FOREST CITY,50436
SIGOURNEY BP,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,805 E JACKSON ,,SIGOURNEY,52591
SMITHLAND COUNTRY STORE,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,209 MAIN ST ,,SMITHLAND,51056
SOLDIER SPEEDEE STOP,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,91 STATE HWY 183 ,,SOLDIER,51572
SPARKY'S ONE STOP ,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,100 EAGLE  ST ,,Westside,51467
SPARKY'S ONE STOP #17,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,500 STATE ST ,,GUTHRIE CENTER,50115
SPARKY'S ONE STOP #28 ROCKWELL CITY,Convenience Store (FE) Fast Food:Convenience Store (RS),Active,2325 Marshall  AVE ,,Rockwell City,50579
